"Journal title","ISSN","Categorias","Indexador","Aims and Scope","Aims and Scope (translate)"
"Journal Of Nanoelectronics And Optoelectronics","1555-130X","Engineering, Electrical & Electronic, Nanoscience & Nanotechnology, Physics, Applied","Web of Science - SCIE","Aims and Scope: Published by American Scientific Publishers. Focuses on scholarly research in the field of Journal of Nanoelectronics and Optoelectronics.","Aims and Scope: Published by American Scientific Publishers. Focuses on scholarly research in the field of Journal of Nanoelectronics and Optoelectronics."
"Journal Of Nanofluids","2169-432X","Nanoscience & Nanotechnology","Web of Science - ESCI","Aims and Scope: Published by American Scientific Publishers. Focuses on scholarly research in the field of Journal of Nanofluids.","Aims and Scope: Published by American Scientific Publishers. Focuses on scholarly research in the field of Journal of Nanofluids."
"Journal Of Nanoparticle Research","1388-0764","Chemistry, Multidisciplinary, Nanoscience & Nanotechnology, Materials Science","Web of Science - SCIE","Journal of Nanoparticle Research is a peer-reviewed journal that delves into concepts, properties, phenomena, and processes of structures at the ...","Journal of Nanoparticle Research is a peer-reviewed journal that delves into concepts, properties, phenomena, and processes of structures at the ..."
"Journal Of Nanophotonics","1934-2608","Nanoscience & Nanotechnology, Optics","Web of Science - SCIE","Aims and Scope: Published by SPIE - International Society for Optical Engineering. Focuses on scholarly research in the field of Journal of Nanophotonics.","Aims and Scope: Published by SPIE - International Society for Optical Engineering. Focuses on scholarly research in the field of Journal of Nanophotonics."
"Journal Of Nano Research","1662-5250","Nanoscience & Nanotechnology, Materials Science, Multidisciplinary, Physics, Applied","Web of Science - SCIE","Scientific.Net, the trademark of Trans Tech Publications Ltd., is one of the largest web resources, publishes peer-reviewed academic journals and book series in field of materials science and engineering.","Scientific.Net, the trademark of Trans Tech Publications Ltd., is one of the largest web resources, publishes peer-reviewed academic journals and book series in field of materials science and engineering."
"Journal Of Nanostructure In Chemistry","2008-9244","Chemistry, Multidisciplinary, Nanoscience & Nanotechnology, Materials Science","Web of Science - SCIE","Journal of Nanostructure in Chemistry is publishing with OICC Press since January 1st, 2025. Journal of Nanostructure in Chemistry (JNC) reports ...","Journal of Nanostructure in Chemistry is publishing with OICC Press since January 1st, 2025. Journal of Nanostructure in Chemistry (JNC) reports ..."
"Journal Of Nanostructures","2251-7871","Nanoscience & Nanotechnology","Web of Science - ESCI","Journal of Nanostructures (JNS)","Journal of Nanostructures (JNS)"
"Journal Of Nanotechnology","1687-9503","Nanoscience & Nanotechnology","Web of Science - ESCI","Subjects: Technology (General). Keywords: nanotechnology, nanomaterials","Subjects: Technology (General). Keywords: nanotechnology, nanomaterials"
"Journal Of Natural Fibers","1544-0478","Materials Science, Textiles","Web of Science - SCIE","Subjects: Science, Textile bleaching, dyeing, printing, etc.. Keywords: raw materials, eco-friendly, textiles, natural, fibers, production","Subjects: Science, Textile bleaching, dyeing, printing, etc.. Keywords: raw materials, eco-friendly, textiles, natural, fibers, production"
"Journal Of Natural Gas Geoscience","2543-151X","Engineering, Petroleum, Energy & Fuels, Geology","Web of Science - ESCI","Aims and Scope: Published by Elsevier. Focuses on academic publications in Journal of Natural Gas Geoscience.","Aims and Scope: Published by Elsevier. Focuses on academic publications in Journal of Natural Gas Geoscience."
"Journal Of Natural History","0022-2933","Biodiversity Conservation, Ecology, Zoology","Web of Science - SCIE","Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on scholarly research in the field of Journal of Natural History.","Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on scholarly research in the field of Journal of Natural History."
"Journal Of Natural Medicines","1340-3443","Chemistry, Medicinal, Pharmacology & Pharmacy","Web of Science - SCIE","The Journal of Natural Medicines is an international hybrid journal presenting original research in naturally occurring medicines and their related foods and ...","The Journal of Natural Medicines is an international hybrid journal presenting original research in naturally occurring medicines and their related foods and ..."
"Journal Of Natural Products","0163-3864","Plant Sciences, Chemistry, Medicinal, Pharmacology & Pharmacy","Web of Science - SCIE","Aims and Scope: Published by American Chemical Society. Focuses on scholarly research in the field of Journal of Natural Products.","Aims and Scope: Published by American Chemical Society. Focuses on scholarly research in the field of Journal of Natural Products."
"Journal Of Naval Architecture And Marine Engineering","1813-8535","Engineering, Marine","Web of Science - ESCI","Journal of Naval Architecture and Marine Engineering","Journal of Naval Architecture and Marine Engineering"
"Journal Of Navigation","0373-4633","Engineering, Marine, Oceanography","Web of Science - SCIE","The Journal of Navigation - Professor A Basiri","The Journal of Navigation - Professor A Basiri"
"Journal Of Near Eastern Studies","0022-2968","Archaeology, Asian Studies","Web of Science - AHCI","Aims and Scope: Published by The University of Chicago Press. Focuses on scholarly research in the field of Journal of Near Eastern Studies.","Aims and Scope: Published by The University of Chicago Press. Focuses on scholarly research in the field of Journal of Near Eastern Studies."
"Journal Of Near Infrared Spectroscopy","0967-0335","Chemistry, Applied, Spectroscopy","Web of Science - SCIE","Commencing in 2017 SAGE is delighted to be the new publisher of Journal of Near Infrared Spectroscopy. Information and full-text content will conti...","Commencing in 2017 SAGE is delighted to be the new publisher of Journal of Near Infrared Spectroscopy. Information and full-text content will conti..."
"Journal Of Nematology","0022-300X","Zoology","Web of Science - SCIE","Araya Solutions Corporation is a small but growing New York based services provider, eager to ensure the highest levels of satisfaction to our customers","Araya Solutions Corporation is a small but growing New York based services provider, eager to ensure the highest levels of satisfaction to our customers"
"Journal Of Neonatal-Perinatal Medicine","1934-5798","Pediatrics","Web of Science - ESCI","Aims and Scope: Published by SAGE Publications. Focuses on scholarly research in the field of Journal of Neonatal-Perinatal Medicine.","Aims and Scope: Published by SAGE Publications. Focuses on scholarly research in the field of Journal of Neonatal-Perinatal Medicine."
"Journal Of Nephrology","1121-8428","Urology & Nephrology","Web of Science - SCIE","Journal of Nephrology will no longer be published by Springer Nature as of January 1st, 2026. As of 2026 the journal will be published by OUP/Oxford ...","Journal of Nephrology will no longer be published by Springer Nature as of January 1st, 2026. As of 2026 the journal will be published by OUP/Oxford ..."
"Journal Of Nervous And Mental Disease","0022-3018","Clinical Neurology, Psychiatry","Web of Science - SCIE, Web of Science - SSCI","Aims and Scope: Published by Ovid Technologies (Wolters Kluwer) - Lippincott Williams & Wilkins. Focuses on scholarly research in the field of The Journal of Nervous and Mental Disease.","Aims and Scope: Published by Ovid Technologies (Wolters Kluwer) - Lippincott Williams & Wilkins. Focuses on scholarly research in the field of The Journal of Nervous and Mental Disease."
